,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"16 Children, 16 PathLength",23118159385601280000,1.510742425918579,1.0057651996612549,1.3976217806339264,16384,16384,16384.0,32,349303852367662.5
"13 Children, 19 PathLength",3379847863392000,0.228588581085205,0.1598129272460937,0.1900675296783447,2048,2048,2048.0,32,55827316427.99577
"16 Children, 17 PathLength",41098950018846720000,1.5573155879974363,1.0260326862335205,1.4244718849658966,16384,16384,16384.0,33,638147547968269.2
"13 Children, 20 PathLength",5150244363264000,0.2313237190246582,0.1274185180664062,0.1875396072864532,2048,2048,2048.0,33,80822274904.28142
"15 Children, 18 PathLength",2163102632570880000,0.8623037338256836,0.5107853412628174,0.7216192483901978,8192,8192,8192.0,33,30574160022456.547
"14 Children, 19 PathLength",108155131628544000,0.39839768409729,0.285585880279541,0.369376540184021,4096,4096,4096.0,33,2500276364106.8843
"19 Children, 14 PathLength",201220459292273541120000,12.212961912155151,8.66822624206543,11.583469301462172,131072,131072,131072.0,33,2.9342170608668923e+18
"20 Children, 13 PathLength",3018306889384103116800000,25.52338099479676,18.64255213737488,24.258096903562542,262144,262144,262144.0,33,4.7427262829608395e+19
"17 Children, 16 PathLength",739781100339240960000,3.130730152130127,2.224695920944214,2.89821195602417,32768,32768,32768.0,33,1.1245339266466604e+16
"18 Children, 15 PathLength",12576278705767096320000,6.219181060791016,4.2912437915802,5.864382475614548,65536,65536,65536.0,33,1.884442304083417e+17
"17 Children, 17 PathLength",1356265350621941760000,3.1642866134643555,2.0671725273132324,2.917036890983581,32768,32768,32768.0,34,2.0882690214459836e+16
"20 Children, 14 PathLength",6640275156645026856960000,25.702996253967285,18.34548044204712,24.641099840402603,262144,262144,262144.0,34,1.007767999779391e+20
"19 Children, 15 PathLength",415017197290314178560000,12.405033111572266,10.63602375984192,11.951488107442856,131072,131072,131072.0,34,6.604252079452022e+18
"14 Children, 20 PathLength",169958063987712000,0.40765380859375,0.2942566871643066,0.3810325562953949,4096,4096,4096.0,34,2718445412530.0015
"15 Children, 19 PathLength",3569119343741952000,0.7774097919464111,0.5131404399871826,0.7195139527320862,8192,8192,8192.0,34,52646655347336.766
"18 Children, 16 PathLength",24412776311194951680000,6.226979732513428,4.429021596908569,5.941830188035965,65536,65536,65536.0,34,3.6387977905298643e+17
"16 Children, 18 PathLength",71382386874839040000,1.5405526161193848,1.0147743225097656,1.4327711164951324,16384,16384,16384.0,34,1050763082482109.6
"16 Children, 19 PathLength",121350057687226368000,1.5538477897644043,1.0262739658355713,1.4502112865447998,16384,16384,16384.0,35,2257572324515172.5
"18 Children, 17 PathLength",46113021921146019840000,6.6135358810424805,4.920212030410767,6.096604377031326,65536,65536,65536.0,35,6.962051824518149e+17
"19 Children, 16 PathLength",830034394580628357120000,14.082003831863403,9.704066276550291,13.141543716192244,131072,131072,131072.0,35,1.2542069541941158e+19
"15 Children, 20 PathLength",5778574175582208000,0.7883317470550537,0.5117020606994629,0.7285001873970032,8192,8192,8192.0,35,82540581447794.19
"20 Children, 15 PathLength",14110584707870682071040000,26.346890687942505,18.296449184417725,24.81612792611122,262144,262144,262144.0,35,2.123600666711053e+20
